مهندسی کامپيوتر علم و صنعت ايران,40 آزمون کانون در2 سال,356 منطقه 1,542 کشور
علوم کامپيوتر صنعتی شريف,95 آزمون کانون در2 سال,30 منطقه 3,544 کشور
مهندسی برق صنعتی شريف,34 آزمون کانون در1 سال,159 منطقه 2,547 کشور
علوم کامپيوتر صنعتی اميرکبير,48 آزمون کانون در1 سال,363 منطقه 1,556 کشور
رشته قبولی,"تعداد  آزمون ها(در مجموع چند سال)",رتبه در منطقه,رتبه کشوری
مهندسی کامپيوتر علم و صنعت ايران,25 آزمون کانون در3 سال,491 منطقه 1,807 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,70 آزمون کانون در2 سال,255 منطقه 2,807 کشور
مهندسی برق صنعتی اميرکبير,50 آزمون کانون در2 سال,255 منطقه 2,807 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,83 آزمون کانون در2 سال,505 منطقه 1,812 کشور
مهندسی عمران صنعتی شريف,50 آزمون کانون در1 سال,257 منطقه 2,812 کشور
مهندسی مکانيک صنعتی شريف,29 آزمون کانون در1 سال,258 منطقه 2,816 کشور
مهندسی برق صنعتی اميرکبير,104 آزمون کانون در3 سال,514 منطقه 1,828 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,63 آزمون کانون در3 سال,263 منطقه 2,829 کشور
مهندسی کامپيوتر خواجه نصير تهران,42 آزمون کانون در3 سال,264 منطقه 2,835 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,14 آزمون کانون در1 سال,520 منطقه 1,838 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,15 آزمون کانون در1 سال,269 منطقه 2,845 کشور
مهندسی مکانيک دانشگاه تهران,46 آزمون کانون در2 سال,271 منطقه 2,850 کشور
علوم کامپيوتر صنعتی اميرکبير,34 آزمون کانون در2 سال,271 منطقه 2,850 کشور
مهندسی برق دانشگاه تهران,33 آزمون کانون در2 سال,271 منطقه 2,850 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,52 آزمون کانون در4 سال,526 منطقه 1,852 کشور
مهندسی برق صنعتی اميرکبير,61 آزمون کانون در2 سال,273 منطقه 2,855 کشور
علوم کامپيوتر دانشگاه تهران,29 آزمون کانون در1 سال,55 منطقه 3,858 کشور
مهندسی عمران صنعتی شريف,18 آزمون کانون در1 سال,275 منطقه 2,862 کشور
مهندسی کامپيوتر خواجه نصير تهران,48 آزمون کانون در2 سال,535 منطقه 1,868 کشور
مهندسی کامپيوتر خواجه نصير تهران,20 آزمون کانون در1 سال,536 منطقه 1,869 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,11 آزمون کانون در2 سال,537 منطقه 1,871 کشور
مهندسی مکانيک صنعتی اميرکبير,48 آزمون کانون در2 سال,279 منطقه 2,875 کشور
مهندسی صنايع و سيستم ها دانشگاه تهران,119 آزمون کانون در4 سال,280 منطقه 2,876 کشور
مهندسی برق صنعتی اميرکبير,36 آزمون کانون در2 سال,542 منطقه 1,881 کشور
مهندسی برق صنعتی اميرکبير,75 آزمون کانون در4 سال,282 منطقه 2,882 کشور
مهندسی مکانيک دانشگاه تهران,51 آزمون کانون در2 سال,545 منطقه 1,885 کشور
مهندسی کامپيوتر خواجه نصير تهران,83 آزمون کانون در2 سال,286 منطقه 2,896 کشور
مهندسی مکانيک دانشگاه تهران,58 آزمون کانون در2 سال,287 منطقه 2,899 کشور
مهندسی کامپيوتر خواجه نصير تهران,20 آزمون کانون در2 سال,556 منطقه 1,902 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,8 آزمون کانون در1 سال,560 منطقه 1,908 کشور
علوم کامپيوتر صنعتی اميرکبير,27 آزمون کانون در2 سال,291 منطقه 2,915 کشور
مهندسی کامپيوتر خواجه نصير تهران,33 آزمون کانون در2 سال,566 منطقه 1,918 کشور
مهندسی مکانيک دانشگاه تهران,75 آزمون کانون در3 سال,569 منطقه 1,922 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,74 آزمون کانون در3 سال,295 منطقه 2,926 کشور
مهندسی کامپيوتر علم و صنعت ايران-نوبت دوم,115 آزمون کانون در6 سال,299 منطقه 2,936 کشور
مهندسی برق علم و صنعت ايران,40 آزمون کانون در2 سال,62 منطقه 3,936 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,110 آزمون کانون در3 سال,301 منطقه 2,941 کشور
مهندسی مکانيک دانشگاه تهران,23 آزمون کانون در1 سال,63 منطقه 3,941 کشور
رشته قبولی,"تعداد  آزمون ها(در مجموع چند سال)",رتبه در منطقه,رتبه کشوری
مهندسی صنايع و سيستم ها صنعتی شريف,15 آزمون کانون در1 سال,437 منطقه 1,695 کشور
علوم کامپيوتر دانشگاه تهران,22 آزمون کانون در1 سال,216 منطقه 2,697 کشور
مهندسی برق دانشگاه تهران,43 آزمون کانون در2 سال,218 منطقه 2,700 کشور
مهندسی کامپيوتر شهيد بهشتی تهران,13 آزمون کانون در1 سال,441 منطقه 1,702 کشور
